=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2019.12.16 14:26:30 =~=~=~=~=~=~=~=~=~=~=~=
Nano ready to recieve! :)

170.02 , 195.36 , 172.22 , 1.83 , -1.83 , 0.23 , 96120

171.42 , 192.19 , 173.54 , 1.60 , -1.37 , 0.00 , 96420

173.27 , 189.20 , 174.94 , 1.37 , -0.46 , 0.00 , 96719

175.03 , 186.30 , 176.44 , 1.37 , -1.37 , 0.00 , 97019

176.62 , 183.22 , 177.94 , 1.37 , -0.46 , 0.00 , 97318

179.08 , 179.96 , 179.34 , 0.00 , 0.00 , 0.00 , 102706

178.64 , 182.07 , 178.64 , -0.92 , 0.92 , 0.00 , 103006

177.23 , 185.06 , 177.14 , -1.83 , 0.92 , 0.00 , 103305

175.74 , 188.32 , 175.65 , -2.06 , 0.00 , 0.00 , 103605

174.24 , 191.31 , 174.33 , -1.60 , 0.00 , 0.00 , 103905

172.83 , 194.22 , 172.83 , -1.60 , 0.00 , 0.00 , 104205

171.34 , 197.21 , 171.34 , -1.83 , 0.69 , 0.00 , 104504

169.93 , 200.02 , 170.02 , -1.60 , 0.46 , 0.00 , 104804

168.43 , 202.84 , 168.61 , -1.37 , 0.46 , 0.00 , 105104

167.11 , 205.74 , 167.38 , -1.37 , 0.92 , 0.00 , 105403

165.79 , 208.47 , 165.97 , -1.37 , 0.46 , 0.00 , 105703

164.38 , 211.11 , 164.65 , -1.83 , 0.46 , 0.00 , 106002

163.15 , 213.66 , 163.42 , -1.60 , 0.46 , 0.00 , 106302

161.92 , 216.13 , 162.18 , -1.60 , 0.92 , 0.00 , 106602

160.78 , 218.50 , 161.04 , -1.37 , 0.46 , 0.00 , 106902

159.46 , 220.79 , 159.98 , -1.60 , 0.23 , 0.00 , 107202

158.40 , 223.08 , 158.84 , -1.37 , 0.46 , 0.00 , 107502

157.26 , 225.19 , 157.96 , -0.92 , 0.00 , 0.00 , 107801

156.38 , 227.04 , 156.99 , -1.37 , 0.00 , 0.00 , 108101

155.50 , 228.80 , 156.20 , -1.37 , 0.46 , 0.00 , 108401

154.44 , 230.56 , 155.32 , -0.92 , 0.00 , 0.00 , 108701

153.65 , 232.14 , 154.53 , -0.69 , 0.00 , 0.00 , 109000

152.86 , 233.55 , 153.91 , -0.46 , 0.00 , 0.00 , 109300

152.15 , 234.96 , 153.21 , -0.46 , 0.00 , 0.00 , 109600

151.62 , 236.19 , 152.59 , -0.46 , 0.23 , 0.00 , 109899

150.92 , 237.16 , 152.06 , -0.46 , 0.00 , 0.00 , 110199

150.48 , 238.04 , 151.62 , 0.00 , 0.46 , 0.00 , 110499

150.22 , 238.92 , 151.36 , 0.00 , 0.00 , 0.00 , 110798

149.86 , 239.62 , 150.92 , -0.46 , 0.00 , 0.00 , 111098

149.51 , 240.15 , 150.66 , 0.00 , 0.00 , 0.00 , 111397

149.42 , 240.42 , 150.48 , 0.00 , 0.00 , 0.00 , 111697

149.42 , 240.42 , 150.48 , 0.00 , 0.00 , 0.00 , 111996

149.42 , 240.50 , 150.48 , 0.00 , 0.00 , 0.00 , 112296

149.42 , 240.50 , 150.48 , 0.00 , 0.00 , 0.00 , 112595

149.42 , 240.50 , 150.48 , 0.00 , 0.00 , 0.00 , 112896

149.42 , 240.50 , 150.48 , 0.00 , 0.00 , 0.00 , 113195

149.42 , 240.50 , 150.48 , 0.00 , 0.00 , 0.00 , 113495

149.42 , 240.33 , 150.48 , 0.00 , 0.00 , 0.00 , 113794

149.42 , 240.06 , 150.83 , 0.00 , 0.00 , 0.00 , 114093

149.42 , 239.01 , 151.27 , 0.00 , -0.46 , 0.00 , 114393

149.51 , 238.04 , 151.80 , 0.00 , -0.92 , 0.00 , 114693

149.69 , 236.98 , 152.42 , 0.00 , -0.46 , 0.00 , 114992

150.04 , 235.58 , 153.12 , 0.46 , -0.46 , 0.00 , 115292

150.66 , 233.99 , 153.82 , 0.92 , -0.69 , 0.00 , 115592

151.27 , 232.14 , 154.53 , 0.92 , -1.37 , 0.00 , 115892

152.50 , 230.47 , 155.50 , 0.69 , -1.14 , 0.00 , 116192

153.65 , 228.89 , 156.38 , 0.46 , -0.46 , 0.00 , 116492

154.26 , 226.60 , 157.34 , 0.46 , -1.37 , 0.00 , 116791

155.06 , 224.75 , 158.31 , 0.23 , -0.46 , 0.00 , 117091

156.46 , 222.55 , 159.37 , 0.46 , -0.92 , 0.00 , 117391

157.70 , 220.00 , 160.42 , 0.46 , -0.92 , 0.00 , 117691

158.58 , 217.54 , 161.57 , 0.92 , -1.60 , 0.00 , 117990

159.81 , 215.07 , 162.80 , 0.69 , -0.92 , 0.00 , 118290

161.48 , 212.52 , 164.03 , 1.60 , -1.37 , 0.00 , 118590

163.15 , 209.97 , 165.35 , 1.14 , -1.37 , 0.00 , 118890

164.47 , 207.06 , 166.67 , 0.92 , -1.83 , 0.00 , 119189

165.62 , 204.07 , 167.99 , 1.37 , -1.37 , 0.00 , 119489

167.20 , 201.17 , 169.31 , 1.83 , -1.14 , 0.00 , 119789

168.70 , 198.44 , 170.63 , 0.92 , -1.37 , 0.00 , 120089

170.02 , 195.36 , 172.22 , 1.60 , -1.83 , 0.00 , 120388

171.42 , 192.10 , 173.54 , 1.60 , -1.14 , 0.00 , 120688

173.27 , 189.20 , 174.94 , 1.37 , -0.46 , 0.00 , 120988

175.03 , 186.21 , 176.44 , 1.37 , -1.14 , 0.00 , 121288

176.62 , 183.22 , 177.94 , 1.37 , -0.46 , 0.00 , 121587

178.90 , 179.96 , 179.34 , 0.00 , 0.00 , 0.00 , 126976

178.55 , 181.98 , 178.73 , -0.92 , 0.92 , 0.00 , 127275

177.23 , 185.15 , 177.14 , -1.83 , 0.92 , 0.00 , 127575

175.74 , 188.32 , 175.65 , -1.83 , 0.00 , 0.00 , 127875

174.15 , 191.31 , 174.33 , -1.37 , 0.23 , 0.00 , 128175

172.83 , 194.22 , 172.83 , -1.37 , 0.46 , 0.00 , 128474
